"2","205","60","60","Samy Y Sandra Sandoval","Evolución","d:\Rockola\Fotos\t05.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","206","61","61","Samy Y Sandra Sandoval","Hasta Que El Cuerpo Aguante","d:\Rockola\Fotos\t06.jpg","","","0","","","1","2005-09-14 09:23:35","0","0","0"
"2","207","62","62","Samy Y Sandra Sandoval","Mi Norte Y Sur","d:\Rockola\Fotos\t07.jpg","","","0","","","1","2005-09-14 09:23:20","0","0","0"
"2","208","63","63","Samy Y Sandra Sandoval","Raices","d:\Rockola\Fotos\t08.jpg","","","0","","","1","2005-09-14 09:05:24","0","0","0"
"2","218","64","64","Samy Y Sandra Sandoval","Grandes Éxitos","d:\Rockola\Fotos\t18.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","233","65","65","Samy Y Sandra Sandoval","Evolución","d:\Rockola\Fotos\t33.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","239","66","66","Samy Y Sandra Sandoval","Mi Complemento Ideal","d:\Rockola\Fotos\t39.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","236","68","68","Teresín Jaén","Solamente Éxitos","d:\Rockola\Fotos\t36.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","237","69","69","Teresín Jaén","Exitos","d:\Rockola\Fotos\t37.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","211","71","71","Ulpiano Vergara","20 Exitos","d:\Rockola\Fotos\t11.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","217","72","72","Ulpiano Vergara","El Mas Temido","d:\Rockola\Fotos\t17.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","219","73","73","Ulpiano Vergara","Me Enamoré","d:\Rockola\Fotos\t19.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","234","74","74","Ulpiano Vergara","Centenario","d:\Rockola\Fotos\t34.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
"2","235","75","75","Ulpiano Vergara","Ingratitudes","d:\Rockola\Fotos\t35.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","247","83","83","Ulpiano Vergara Y Los Distinguidos","Éxitos","d:\Rockola\Fotos\t47.jpg","","","0","","","0","2004-12-07 09:11:51","0","0","0"
"2","249","88","87","Victor Bernal","Gracias","d:\Rockola\Fotos\t49.jpg","","","0","","","1","2004-12-07 09:11:51","0","0","0"
